old_id,latitude,longitude,address,name,photo_path,type,creator_id,timecard_id,type_id
206,49.127677,55.776794,"ул. Хади Такташа, 30, Казань, Россия",Пашмир,,RESTAURANT,,86,
200,49.120671,55.787485,"ул. Баумана, 82, Казань, Россия",Лофт-ресторан на крыше,,RESTAURANT,,80,
201,49.11722,55.780907,"ул. Шигабутдина Марджани, 8, Казань, Россия",Татарская усадьба,,RESTAURANT,,81,
199,49.107304,55.790721,"ул. Чернышевского, 27А, Казань, Россия",Приют Холостяка,,RESTAURANT,,79,
216,49.115888,55.781258,"ул. Каюма Насыри, 3, Казань, Россия",Культ,,BAR,,96,
217,49.120567,55.787485,"ул. Баумана, 82, Казань, Россия",RV BAR,,BAR,,,
213,49.119451,55.786911,"ул. Островского, 39/6, Казань, Россия",Паб Дублин,,BAR,,93,
214,49.100198,55.791076,"ул. Саид-Галеева, 6, Казань, Россия",Roof Gastro Bar,,BAR,,94,
215,49.123933,55.792941,"ул. Пушкина, 29А, Казань, Россия",Rockstar Bar,,BAR,,95,
205,49.121943,55.788747,"ул. Профсоюзная ул., 23В/12, Вахитовский район, Казань, Россия",Рубаи,,RESTAURANT,,85,
208,49.127982,55.799648,"ул. Малая Красная, 13, Казань, Россия",Малабар,,RESTAURANT,,88,
203,49.107546,55.788495,"ул. Московская, 36А, Казань, Россия",Dali,,RESTAURANT,,83,
156,49.10121,55.809783,"ул. Односторонка Гривки, 1А, Казань, Россия",Парк культуры,,PARK,,38,
157,49.155704,55.826616,"Россия, Республика Татарстан, Казань, Парк Континент",Парк Континент,,PARK,,39,
158,49.128892,55.790161,"Россия, Республика Татарстан, Казань, сад Эрмитаж",Сад Эрмитаж,,PARK,,40,
152,49.133722,55.792875,"Россия, Республика Татарстан, Казань, улица Горького",Лядской сад,,PARK,,35,
153,49.062734,55.837801,"Россия, Республика Татарстан, Казань, парк имени Урицкого",Парк имени Урицкого,,PARK,,36,
154,49.121322,55.794323,"Россия, Республика Татарстан, Казань, улица Пушкина",Черное озеро,,PARK,,37,
155,49.163333,55.802222,"Россия, Республика Татарстан, Казань, Русско-Немецкая Швейцария",Швейцария,,PARK,,,
149,49.111263,55.800932,"Россия, Республика Татарстан, Казань, парк Земледельцев",Парк Земледельцев,,PARK,,33,
150,49.108328,55.829626,"просп. Ямашева, 42А, Казань, Россия",Парк Победы,,PARK,,,
151,49.210019,55.76089,"просп. Победы, 69, Казань, Россия",Горкинско-Ометьевский лес,,PARK,,34,
212,49.116151,55.81711,"ул. Меридианная, 2, Ново-Савиновский район, Казань, Россия",Top hop,,BAR,,92,
207,49.108354,55.788955,"ул. Московская, 35, Казань, Россия",Мацони,,RESTAURANT,,87,
204,49.121568,55.788548,"ул. Университетская, 10, Казань, Россия",Boco kitchen,,RESTAURANT,,84,
139,49.123076,55.786961,"ул. Петербургская, 1, Казань, Россия",Звери,,PET_SHOP,,23,
148,49.204583,55.753135,"ул. Рихарда Зорге, 47, Приволжский район, Казань, Россия",Гуппи,,PET_SHOP,,32,
202,49.122602,55.788418,"ул. Профсоюзная, 23/12, Вахитовский район, Казань, Россия",Cernovar,,RESTAURANT,,82,
209,49.111047,55.797598,"ул. Карла Маркса, 5, Казань, Россия",More,,BAR,,89,
210,49.112308,55.792698,"ул. Баумана, 9А, Казань, Россия",ReLab Cocktail Bar,,BAR,,90,
211,49.109628,55.793173,"ул. Баумана, 36, Казань, Россия",Top Hop,,BAR,,91,
228,49.121302,55.788705,"Профсоюзная ул., 46, Вахитовский район, Казань, Россия",i-Bar,,BAR,,106,
229,49.116199,55.793628,"ул. Кремлевская, 21, Казань, Респ. Татарстан, Россия",Surf Coffee X Muses,,COFFEESHOP,,98,
230,49.12107,55.786975,"ул. Пушкина, 5/43, Казань, Респ. Татарстан, Россия",Surf Coffee X Muses,,COFFEESHOP,,99,
241,49.229213,55.870909,"ул. Начальная, 4, Казань, Респ. Татарстан, Росси",Собачья площадка,,TRAINING_AREA,,,
242,49.057281,55.839073,"ул. Восстания, 100 корпус 4, Казань, Респ. Татарстан, Россия",Собачья площадка,,TRAINING_AREA,,,
178,49.121965,55.785146,"ул. Островского, 38, Казань, Россия",Beanhearts,,COFFEESHOP,,58,
172,49.120674,55.786578,"ул. Пушкина, 5/43, Казань, Россия","Skuratov, coffee roasters",,COFFEESHOP,,52,
173,49.111983,55.786556,"ул. Галиаскара Камала, 4А, Казань, Россия",Cream Coffee,,COFFEESHOP,,53,
174,49.120069,55.78774,"ул. Баумана, 80/7, Казань, Россия",Нефть,,COFFEESHOP,,54,
175,49.134393,55.791727,"ул. Муштари, 19, корп. 1, Казань, Россия",Кофейный дом Гурме,,COFFEESHOP,,55,
169,49.135962,55.827507,"просп. Ямашева, 76, Казань, Россия",Coffee Bean,,COFFEESHOP,,49,
170,49.112129,55.792216,"ул. Баумана, 9/11, Казань, Россия","Skuratov, coffee roasters",,COFFEESHOP,,50,
171,49.133159,55.781276,"Петербургская ул., 50, корп. 28А, Казань, Россия",Surf Coffee X Muses,,COFFEESHOP,,51,
144,49.110547,55.77927,"ул. Нариманова, 72/52, Казань, Россия",Зоомир,,PET_SHOP,,28,
145,49.125404,55.793319,"ул. Пушкина, 42, Казань, Россия",Артизан,,PET_SHOP,,29,
142,49.108516,55.786389,"ул. Мартына Межлаука, 13, Казань, Россия",Птичий рынок,,PET_SHOP,,26,
147,49.124258,55.792695,"ул. Пушкина, 29А, Казань, Россия",Муравьиная ферма,,PET_SHOP,,31,
140,49.132065,55.777004,"ул. Туфана Миннуллина, 8Б, Казань, Россия",Petshopru,,PET_SHOP,,24,
141,49.152159,55.783728,"ул. Амирхана Еники, 5А, Казань, Россия",Шесть Слонов,,PET_SHOP,,25,
143,49.138448,55.77472,"ул. Павлюхина, 57, Казань, Россия",Маугли,,PET_SHOP,,27,
146,49.096732,55.822188,"просп. Ибрагимова, 63А, Казань, Россия",Зоомир,,PET_SHOP,,30,
231,49.118866,55.788493,"ул. Баумана, 76, Казань, Респ. Татарстан, Россия",Cofix,,COFFEESHOP,,107,
244,49.08604,55.825598,"ул. Декабристов, 100, Казань, Респ. Татарстан, Россия",Крафт паб Varka,,BAR,,110,
232,49.091184,55.816653,"ул. Декабристов, 83, Казань, Респ. Татарстан, Россия",Cofix,"",COFFEESHOP,,108,
235,49.23167,55.795706,"ул. Магистральная ул., 2А, Казань, Респ. Татарстан, Россия",Собачья площадка,,TRAINING_AREA,,,
233,49.116065,55.791229,"ул. Профсоюзная ул., 22, Казань, Респ. Татарстан, Россия",Соль,,BAR,,109,
237,49.15908,55.82722,"ул. Гаврилова, 23, Казань, Респ. Татарстан, Россия",Собачья площадка,,TRAINING_AREA,,,
245,49.120473,55.787437,"ул. Баумана, 82, Казань, Респ. Татарстан, Россия",OmNomNom,,CAFE,,111,
238,49.108097,55.772245,"ул. Карима Тинчурина, 27А, Казань, Респ. Татарстан, Россия",Собачья площадка,,TRAINING_AREA,,,
236,49.212336,55.75949,"ул. Братьев Касимовых, 31А, Казань, Респ. Татарстан, Россия",Собачья площадка,,TRAINING_AREA,,,
234,49.242814,55.793677,"Казань, Респ. Татарстан, Россия",Парк Весна,,TRAINING_AREA,,,
239,49.242627,55.755158,"ул. Салиха Батыева, 19, Казань, Респ. Татарстан, Россия",Собачья площадка,,TRAINING_AREA,,,
240,49.19892,55.74577,"просп. Победы, 15, Казань, Респ. Татарстан, Россия",Собачья площадка,,TRAINING_AREA,,,
246,49.136445,55.791865,"ул. Щапова, 43, Казань, Респ. Татарстан, Россия",Smorodina Cakes,,CAFE,,112,
247,49.104653,55.791238,"ул. Московская ул., 20, Казань, Респ. Татарстан, Россия",Vasilchukí Chaihona № 1,,CAFE,,113,
248,49.109765,55.793019,"ул. Баумана, 36, Казань, Респ. Татарстан, Россия",Урюк,,CAFE,,114,
249,49.129429,55.796177,"ул. Жуковского, 15А, Казань, Респ. Татарстан, Россия",Cho,,CAFE,,115,
250,49.10565,55.789547,"ул. Чернышевского, 33, Казань, Респ. Татарстан, Россия",Moonwood,,COFFEESHOP,,116,
177,49.118155,55.791197,"ул. Астрономическая, 17, Казань, Россия",Ранняя пташка,,COFFEESHOP,,57,
251,49.136993,55.789694,"ул. Бутлерова, 45, Казань, Респ. Татарстан, Россия",Green Dog,,CAFE,,117,
252,49.130067,55.782603,"ул. Петербургская, 44, Казань, Респ. Татарстан, Россия",New Kitchen,,CAFE,,118,
253,49.112585,55.79512,"ул. Кремлёвская улица, 9, Казань, Респ. Татарстан, Россия",Breadly,,CAFE,,119,
176,49.146383,55.770385,"ул. Газовая, 14, Приволжский район, Казань, Россия",Азу,,COFFEESHOP,,56,
