place_id,amenity
170,WATER
170,ALLOWED_INSIDE
172,WATER
172,ALLOWED_INSIDE
151,TRAINING_COMPLEX
171,WATER
171,ALLOWED_INSIDE
174,WATER
174,ALLOWED_INSIDE
177,WATER
177,ALLOWED_INSIDE
229,WATER
229,ALLOWED_INSIDE
230,WATER
230,ALLOWED_INSIDE
231,ALLOWED_INSIDE
231,WATER
233,WATER
234,TRAINING_COMPLEX
235,TRAINING_COMPLEX
236,TRAINING_COMPLEX
237,TRAINING_COMPLEX
238,TRAINING_COMPLEX
239,TRAINING_COMPLEX
240,TRAINING_COMPLEX
241,TRAINING_COMPLEX
242,TRAINING_COMPLEX
243,TRAINING_COMPLEX
244,ALLOWED_INSIDE
244,WATER
245,ALLOWED_INSIDE
245,WATER
151,WASTE_BINS
246,WATER
246,ALLOWED_INSIDE
247,ALLOWED_INSIDE
251,ALLOWED_INSIDE
248,ALLOWED_INSIDE
250,ALLOWED_INSIDE
249,ALLOWED_INSIDE
247,WATER
251,WATER
248,WATER
250,WATER
249,WATER
252,ALLOWED_INSIDE
252,WATER
253,ALLOWED_INSIDE
253,WATER
