place_id,contact_value,contact_type,value,type_id
139,+7 (843) 513-35-65,PHONE,,
140,+7 (967) 460-67-99,PHONE,,
140,http://www.petshop.ru/,SITE,,
141,+7 (843) 245-26-87,PHONE,,
142,+7 (843) 200-80-01,PHONE,,
142,http://bazarkazan.ru/read-news/ptichka,SITE,,
143,+7 (843) 537-12-53,PHONE,,
145,+7 (927) 918-37-07,PHONE,,
145,https://artisanpets.ru/,SITE,,
146,+7 (843) 518-29-11,PHONE,,
147,+7 (937) 610-98-10,PHONE,,
148,+7 (843) 229-67-57,PHONE,,
148,http://guppi.ru/,SITE,,
151,http://park.tatar/,SITE,,
151,+7 (843) 239-44-33,PHONE,,
154,https://www.black-lake.tatar/,SITE,,
169,+7 (843) 556-75-54,PHONE,,
169,http://www.coffeebean.ru/,SITE,,
170,+7 (937) 600-57-51,PHONE,,
170,http://skuratovcoffee.ru/,SITE,,
171,+7 (937) 625-33-18,PHONE,,
171,http://surfcoffee.ru/,SITE,,
172,+7 (986) 929-50-56,PHONE,,
172,http://skuratovcoffee.ru/,SITE,,
173,+7 (843) 203-22-22,PHONE,,
174,+7 (843) 260-20-20,PHONE,,
174,https://neftcoffee.ru/,SITE,,
175,+7 (937) 625-40-03,PHONE,,
175,https://www.gurmekazan.com/,SITE,,
176,+7 (843) 297-35-35,PHONE,,
176,https://azu.cafe/,SITE,,
177,+7 (843) 259-36-06,PHONE,,
178,+7 (843) 296-47-17,PHONE,,
178,http://www.beanhearts.ru/,SITE,,
199,+7 (843) 292-07-71,PHONE,,
199,http://www.prihol.ru/,SITE,,
200,+7 (843) 500-56-72,PHONE,,
200,http://na-kryshe-cafe.ru/,SITE,,
201,http://tatusadba.ru/,SITE,,
201,+7 (843) 563-03-62,PHONE,,
202,http://черновар.рф/,SITE,,
202,+7 (843) 292-16-82,PHONE,,
203,+7 (843) 509-55-09,PHONE,,
204,http://bocokzn.ru/,SITE,,
204,+7 (843) 503-11-11,PHONE,,
205,+7 (843) 292-64-64,PHONE,,
205,http://rubai-rest.ru/,SITE,,
206,http://pashmir.ru/,SITE,,
206,+7 (843) 277-99-44,PHONE,,
207,http://maconikazan.ru/,SITE,,
207,+7 (904) 714-49-29,PHONE,,
208,+7 (843) 236-74-33,PHONE,,
208,http://malabar-kazan.ru/,SITE,,
209,+7 (843) 240-92-83,PHONE,,
211,+7 (987) 226-36-63,PHONE,,
211,https://www.tophopbar.com/,SITE,,
212,+7 (987) 290-58-58,PHONE,,
212,http://tophopbar.com/,SITE,,
213,+7 (843) 292-67-01,PHONE,,
214,https://msto.me/roofgastrobar/,SITE,,
214,+7 (843) 251-13-11,PHONE,,
215,+7 (843) 260-99-66,PHONE,,
216,+7 (917) 927-20-20,PHONE,,
217,+7 (843) 245-45-54,PHONE,,
217,http://rvbar.su/,SITE,,
228,+7 (908) 341-97-97,PHONE,,
229,+7 (962) 560‑21-21,PHONE,,
229,https://www.surfcoffee.ru,SITE,,
230,+7 (987) 213‑60-58,PHONE,,
230,https://www.surfcoffee.ru,SITE,,
231,https://www.cofix.ru/,SITE,,
232,https://www.cofix.ru/,SITE,,
233,+7 (843) 258‑62-82,PHONE,,
233,http://barsol.ru/,SITE,,
244,+7 (917) 858-74-00,PHONE,,
245,+7 (843) 297-89-10,PHONE,,
245,https://omnom.asia,SITE,,
247,+7 (495) 234-02-33,PHONE,,
247,chaihona.ru/kazan/restaurants/moskovskaa-20,SITE,,
246,8 (843) 203-38-80,PHONE,,
246,http://www.smorodinacakes.ru,SITE,,
248,8 (800) 500-50-05,PHONE,,
248,uryuk.me,SITE,,
249,delivery.chopho.ru,SITE,,
249,+7 (967) 375-02-09,PHONE,,
250,moonwood.ru,SITE,,
250,+7 (951) 061-20-00,PHONE,,
251,+7 (843) 245-42-45,PHONE,,
252,+7 (843) 297-44-11,PHONE,,
253,https://www.instagram.com/breadly_kazan/,INSTAGRAM,,
253,+7 (843) 259-18-81,PHONE,,
254,+7 (843) 229-23-78,PHONE,,
254,dobryidoc.ru,SITE,,
255, 8 (843) 240-58-85,PHONE,,
256,+7 (843) 264-01-07,PHONE,,
256,http://vetsovetkzn.ru,SITE,,
257,+7 (843) 261-50-11,PHONE,,
258,+7 (843) 209-09-96,PHONE,,
244,https://vk.com/varkacraftbar,VK,,
258,https://vk.com/club135473359,VK,,
259,+7 (843) 207-16-65,PHONE,,
