id,everyday,text,twenty_for_hours,hours_from,hours_to,friday,launch,monday,saturday,sunday,thursday,tuesday,wednesday
23,true,"ежедневно, 10:00–22:00",false,10:00:00,22:00:00,,,,,,,,
24,true,"ежедневно, 9:00–21:00",false,09:00:00,21:00:00,,,,,,,,
25,true,"ежедневно, 9:00–21:00",false,09:00:00,21:00:00,,,,,,,,
26,true,"ежедневно, 9:00–16:00",false,09:00:00,16:00:00,,,,,,,,
27,true,"ежедневно, 10:00–21:30",false,10:00:00,21:30:00,,,,,,,,
28,true,"ежедневно, 10:00–20:00",false,10:00:00,20:00:00,,,,,,,,
29,false,пн-сб 10:00–18:00,false,10:00:00,18:00:00,,,,,,,,
30,true,"ежедневно, 9:00–21:00",false,09:00:00,21:00:00,,,,,,,,
31,true,"ежедневно, 10:00–18:00",false,10:00:00,18:00:00,,,,,,,,
32,false,"пн-пт 10:00–21:00; сб,вс 10:00–20:00",false,10:00:00,21:00:00,,,,,,,,
34,false,пн-пт 9:00–18:00,false,09:00:00,18:00:00,,,,,,,,
38,false,"пн-пт 11:00–23:00; сб,вс 10:00–23:00",false,11:00:00,23:00:00,,,,,,,,
49,false,пн-сб 8:00–23:00; вс 9:00–22:00,false,08:00:00,23:00:00,,,,,,,,
50,true,"ежедневно, 6:55–23:05",false,06:55:00,23:05:00,,,,,,,,
51,false,"пн-пт 7:00–22:00; сб,вс 9:00–22:00",false,07:00:00,22:00:00,,,,,,,,
52,true,"ежедневно, 6:55–23:05",false,06:55:00,23:05:00,,,,,,,,
53,false,пн-сб 7:00–21:00; вс 9:00–21:00,false,07:00:00,21:00:00,,,,,,,,
54,false,"пн-пт 8:00–21:00; сб,вс 9:00–21:00",false,08:00:00,21:00:00,,,,,,,,
55,true,"ежедневно, 8:00–23:00",false,08:00:00,23:00:00,,,,,,,,
56,true,"ежедневно, 8:00–20:00",false,08:00:00,20:00:00,,,,,,,,
58,true,"ежедневно, 10:00–21:30",false,10:00:00,21:30:00,,,,,,,,
79,true,"ежедневно, 11:00–22:00",false,11:00:00,22:00:00,,,,,,,,
82,true,"ежедневно, 10:00–22:00",false,10:00:00,22:00:00,,,,,,,,
84,true,"ежедневно, 11:00–23:00",false,11:00:00,23:00:00,,,,,,,,
85,true,"ежедневно, 10:00–18:00",false,10:00:00,18:00:00,,,,,,,,
86,true,"ежедневно, 9:00–22:00",false,09:00:00,22:00:00,,,,,,,,
88,true,"ежедневно, 11:00–23:00",false,11:00:00,23:00:00,,,,,,,,
89,true,"ежедневно, 17:00–4:00",false,17:00:00,04:00:00,,,,,,,,
90,true,"ежедневно, 11:00–0:00",false,11:00:00,00:00:00,,,,,,,,
